Source,recipe_name,Target,ingredient_en,Type,book,chapter,section,ingredient_type
B02C002S03,in_isicia_de_pullo,oleum,oil,Undirected,2,2,3,Plants
B02C002S03,in_isicia_de_pullo,pullus,chicken,Undirected,2,2,3,Meat
B02C002S03,in_isicia_de_pullo,farina,flour,Undirected,2,2,3,Cereals
B02C002S04,in_isicia_de_pullo_aliter_de_pullo_1,piper,pepper,Undirected,2,2,4,Spices
B02C002S04,in_isicia_de_pullo_aliter_de_pullo_1,liquamen,liquamen,Undirected,2,2,4,Additive
B02C002S04,in_isicia_de_pullo_aliter_de_pullo_1,caroenum,caroenum,Undirected,2,2,4,Additive
B02C002S04,in_isicia_de_pullo_aliter_de_pullo_1,pullus,chicken,Undirected,2,2,4,Meat
B02C002S05,isicium_simplex,piper,pepper,Undirected,2,2,5,Spices
B02C002S05,isicium_simplex,apium,celery (celery seed),Undirected,2,2,5,Herbs
B02C002S05,isicium_simplex,liquamen,liquamen,Undirected,2,2,5,Additive
B02C002S05,isicium_simplex,conditum,spiced wine,Undirected,2,2,5,Alcoholic Beverages
B02C002S06,isicia_(dishRANKING,porcellus,suckling pig,Undirected,2,2,6,Meat
B02C002S07,isicia_amulata_ab_aheno,piper,pepper,Undirected,2,2,7,Spices
B02C002S07,isicia_amulata_ab_aheno,origanum,oregano,Undirected,2,2,7,Herbs
B02C002S07,isicia_amulata_ab_aheno,zingiber,ginger,Undirected,2,2,7,Spices
B02C002S07,isicia_amulata_ab_aheno,silphium,silphium,Undirected,2,2,7,Spices
B02C002S07,isicia_amulata_ab_aheno,liquamen,liquamen,Undirected,2,2,7,Additive
B02C002S07,isicia_amulata_ab_aheno,mel,honey,Undirected,2,2,7,Additive
B02C002S07,isicia_amulata_ab_aheno,amulum,roux,Undirected,2,2,7,Cereals
B02C002S07,isicia_amulata_ab_aheno,ligusticum,lovage,Undirected,2,2,7,Herbs
B02C002S08,amulatum_aliter,piper,pepper,Undirected,2,2,8,Spices
B02C002S08,amulatum_aliter,liquamen,liquamen,Undirected,2,2,8,Additive
B02C002S08,amulatum_aliter,mel,honey,Undirected,2,2,8,Additive
B02C002S08,amulatum_aliter,amulum,roux,Undirected,2,2,8,Cereals
B02C002S08,amulatum_aliter,oryza,rice,Undirected,2,2,8,Cereals
B02C002S08,amulatum_aliter,defritum,defritum,Undirected,2,2,8,Additive
B02C002S09,amulatum_aliter_aliter_1,piper,pepper,Undirected,2,2,9,Spices
B02C002S09,amulatum_aliter_aliter_1,anethum,dill,Undirected,2,2,9,Herbs
B02C002S09,amulatum_aliter_aliter_1,apium,celery (celery seed),Undirected,2,2,9,Herbs
B02C002S09,amulatum_aliter_aliter_1,porrum,leeks,Undirected,2,2,9,Vegetables
B02C002S09,amulatum_aliter_aliter_1,liquamen,liquamen,Undirected,2,2,9,Additive
B02C002S09,amulatum_aliter_aliter_1,sal,salt,Undirected,2,2,9,Additive
B02C002S09,amulatum_aliter_aliter_1,passum,raisin wine,Undirected,2,2,9,Alcoholic Beverages
B02C002S09,amulatum_aliter_aliter_1,amulum,roux,Undirected,2,2,9,Cereals
B02C002S09,amulatum_aliter_aliter_1,oryza,rice,Undirected,2,2,9,Cereals
B02C002S09,amulatum_aliter_aliter_1,pullus,chicken,Undirected,2,2,9,Meat
B02C002S09,amulatum_aliter_aliter_1,isicium,isicium,Undirected,2,2,9,Meat
B02C002S09,amulatum_aliter_aliter_1,defritum,defritum,Undirected,2,2,9,Additive
B02C002S10,apothermum,piper,pepper,Undirected,2,2,10,Spices
B02C002S10,apothermum,passum,raisin wine,Undirected,2,2,10,Alcoholic Beverages
B02C002S10,apothermum,caroenum,caroenum,Undirected,2,2,10,Additive
B02C002S10,apothermum,uva,grapes,Undirected,2,2,10,Fruit
B02C002S10,apothermum,amygdala,almonds,Undirected,2,2,10,Nuts & Seeds
B02C002S10,apothermum,uvae_passae,raisins,Undirected,2,2,10,Fruit
B02C002S10,apothermum,nucleus,pine nuts,Undirected,2,2,10,Nuts & Seeds
B02C002S10,apothermum,alica,spelt / emmer wheat,Undirected,2,2,10,Cereals
B02C003S01,vulvulae_botelli,piper,pepper,Undirected,2,3,1,Spices
B02C003S01,vulvulae_botelli,cuminum,cumin,Undirected,2,3,1,Spices
B02C003S01,vulvulae_botelli,anethum,dill,Undirected,2,3,1,Herbs
B02C003S01,vulvulae_botelli,ruta,rue,Undirected,2,3,1,Herbs
B02C003S01,vulvulae_botelli,porrum,leeks,Undirected,2,3,1,Vegetables
B02C003S01,vulvulae_botelli,liquamen,liquamen,Undirected,2,3,1,Additive
B02C003S01,vulvulae_botelli,oleum,oil,Undirected,2,3,1,Plants
B02C003S01,vulvulae_botelli,porcus,pork,Undirected,2,3,1,Meat
B02C003S01,vulvulae_botelli,nucleus,pine nuts,Undirected,2,3,1,Nuts & Seeds
B02C003S02,botellum,piper,pepper,Undirected,2,3,2,Spices
B02C003S02,botellum,cepa,onion,Undirected,2,3,2,Vegetables
B02C003S02,botellum,porrum,leeks,Undirected,2,3,2,Vegetables
